epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,3802.24,0.63331,0.47142,0.97697,0.94862,0.78078,0.85561,0.57315,1.17823,0.61403,1.27305,0.000339364,0.000339364,0.000339364
108,3835.07,0.63607,0.47122,0.98018,0.92842,0.7927,0.86134,0.58588,1.14236,0.59331,1.25882,0.00033583,0.00033583,0.00033583
109,3868.75,0.63609,0.47182,0.976,0.92617,0.79416,0.86266,0.57954,1.1614,0.60279,1.27476,0.000332296,0.000332296,0.000332296
110,3901.69,0.62897,0.4719,0.9774,0.92513,0.79886,0.85774,0.58069,1.14668,0.59374,1.25639,0.000328761,0.000328761,0.000328761
111,3934.78,0.62894,0.46344,0.97435,0.92662,0.79354,0.85925,0.58389,1.14165,0.59954,1.26028,0.000325227,0.000325227,0.000325227
112,3968.32,0.62699,0.46817,0.9745,0.92583,0.79446,0.8605,0.58615,1.12752,0.60942,1.25282,0.000321693,0.000321693,0.000321693
113,4001.7,0.62384,0.464,0.97148,0.91837,0.78311,0.85363,0.5844,1.14428,0.58714,1.26989,0.000318158,0.000318158,0.000318158
114,4034.89,0.62081,0.45874,0.9735,0.90766,0.78775,0.85443,0.58475,1.12089,0.59236,1.26034,0.000314624,0.000314624,0.000314624
115,4068.03,0.62196,0.45986,0.97177,0.91515,0.79188,0.85786,0.58506,1.1225,0.60405,1.24096,0.00031109,0.00031109,0.00031109
116,4101.33,0.61929,0.45869,0.97079,0.90815,0.80165,0.85655,0.58396,1.11318,0.59468,1.24391,0.000307555,0.000307555,0.000307555
117,4134.95,0.6142,0.4551,0.96626,0.92794,0.79033,0.86275,0.58403,1.13076,0.59689,1.2631,0.000304021,0.000304021,0.000304021
118,4168.12,0.61563,0.45656,0.97071,0.9256,0.78705,0.85782,0.58742,1.12988,0.59434,1.26059,0.000300487,0.000300487,0.000300487
119,4202.07,0.61846,0.46205,0.97022,0.93567,0.77673,0.85567,0.59465,1.07248,0.59849,1.20563,0.000296953,0.000296953,0.000296953
120,4235.89,0.60656,0.44925,0.96408,0.90781,0.78861,0.85778,0.58252,1.10753,0.5885,1.23674,0.000293418,0.000293418,0.000293418
121,4268.97,0.60098,0.44744,0.96736,0.90745,0.80149,0.85717,0.58587,1.09095,0.58997,1.22131,0.000289884,0.000289884,0.000289884
